Organization Name,Org ID,orgTypes_json,orgTypePrimary,geoPrimary,Notes,Primary,2ndry,geoTags_json,nodeTypes_json,nodeTypePrimary,governanceLevels_json,governanceLevelPrimary,functionalDomains_json,functionalDomainPrimary,roleTags_json,rolePrimary,lifelineTags_json,femaLifelinePrimary,url,review_flag,review_note
211info,211info,"[""Nonprofit Community""]",Nonprofit Community,Oregon,Provides community information and referral services that support disaster preparedness and recovery.,,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination"", ""Data Tools Provider""]",Coordination,"[""Communications""]",Communications,https://www.211info.org/,,
Alpine Fault Magnitude 8,AF8,"[""Coordination Structure""]",Coordination Structure,International,,,,"[""International""]","[""Hub""]",Hub,"[""Multi""]",Multi,"[""Community Resilience""]",Community Resilience,"[""Coordination"", ""Knowledge Provider"", ""Data Tools Provider""]",Coordination,"[""Other""]",Other,https://af8.org.nz/,,
Air National Guard,AirNG,"[""Government""]",Government,U.S. National,"Provides airlift, logistics, and emergency support capabilities for disaster response.

Review flag: yes

Review note: Generic umbrella entry; consider replacing with state-specific Air National Guard entities.",,,"[""U.S. National""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Safety Security""]",Safety Security,https://www.ang.af.mil/,yes,Generic umbrella entry; consider replacing with state-specific Air National Guard entities.
Global Security Systems/ALERT FM,AlertFM,"[""Private Sector""]",Private Sector,International,Provides alerting technology and communications tools used for emergency warning and public information.,,,"[""International""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider"", ""Data Tools Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://alertfm.com/,,
Alert Ready Emergency Alert System,AlertReady,"[""Coordination Structure""]",Coordination Structure,Canada,"Delivers public emergency alerts across Canada through participating broadcasters and wireless providers.

Review flag: yes

Review note: Could be modeled as a national alerting system rather than a standalone program node.",,,"[""Canada""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://www.alertready.ca/,yes,Could be modeled as a national alerting system rather than a standalone program node.
Aon Impact Forecasting,AON,"[""Private Sector""]",Private Sector,International,,,,"[""International""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.aon.com/en/capabilities/reinsurance/catastrophe-model-insight,,
American Society of Civil Engineers,ASCE,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,Advances engineering practice and guidance relevant to resilient infrastructure and seismic risk reduction.,,,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Knowledge Provider""]",Knowledge Provider,"[""Other""]",Other,https://www.asce.org/,,
Affiliated Tribes of Northwest Indians,ATNI,"[""Tribal Sovereign""]",Tribal Sovereign,PNW Regional,,,,"[""PNW Regional""]","[""Tribe"", ""FirstNation""]",Tribe,"[""Non Governmental""]",Non Governmental,"[""Community Resilience""]",Community Resilience,"[""Coordination"", ""Policy Maker Regulator""]",Coordination,"[""Other""]",Other,https://atnitribes.org/,,
City of Bainbridge Island,Bainbridge,"[""Government""]",Government,Washington,"Provides local emergency preparedness, response, and recovery coordination.",,,"[""Washington""]","[""Organization""]",Organization,"[""Local""]",Local,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Other""]",Other,https://www.bainbridgewa.gov/,,
Bathymetrix,Bathymetrix,"[""Private Sector""]",Private Sector,Oregon,"Bathymetrix is a geophysical consulting firm providing services in ocean acoustics, global seismology, and scientific data analysis.",,,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Data Tools Provider"", ""Knowledge Provider""]",Data Tools Provider,"[""Other""]",Other,https://bathymetrix.com/,,
