Organization Name,Org ID,orgTypes_json,orgTypePrimary,geoPrimary,Notes,Primary,2ndry,geoTags_json,nodeTypes_json,nodeTypePrimary,governanceLevels_json,governanceLevelPrimary,functionalDomains_json,functionalDomainPrimary,roleTags_json,rolePrimary,lifelineTags_json,femaLifelinePrimary,url,review_flag,review_note
211info,211info,"[""Nonprofit Community""]",Nonprofit Community,Oregon,Provides community information and referral services that support disaster preparedness and recovery.,,https://www.211info.org/contact/,"[""Oregon""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Emergency Management""]",Emergency Management,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,https://www.211info.org/,,
Air National Guard,AirNG,"[""Government""]",Government,U.S. National,"Provides airlift, logistics, and emergency support capabilities for disaster response.

Review flag: yes

Review note: Generic umbrella entry; consider replacing with state-specific Air National Guard entities.",,https://www.ang.af.mil/Contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""State""]",State,"[""Emergency Management""]",Emergency Management,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Safety Security""]",Safety Security,https://www.ang.af.mil/,yes,Generic umbrella entry; consider replacing with state-specific Air National Guard entities.
Alert Ready Emergency Alert System,AlertReady,"[""Coordination Structure""]",Coordination Structure,Canada,"Delivers public emergency alerts across Canada through participating broadcasters and wireless providers.

Review flag: yes

Review note: Could be modeled as a national alerting system rather than a standalone program node.",,https://www.alertready.ca/contact/,"[""Canada""]","[""Program""]",Program,"[""Multi""]",Multi,"[""Emergency Management""]",Emergency Management,"[""Messaging Alerts Provider""]",Messaging Alerts Provider,"[""Communications""]",Communications,https://www.alertready.ca/,yes,Could be modeled as a national alerting system rather than a standalone program node.
American Society of Civil Engineers,ASCE,"[""Nonprofit Community""]",Nonprofit Community,U.S. National,Advances engineering practice and guidance relevant to resilient infrastructure and seismic risk reduction.,,https://www.asce.org/contact,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.asce.org/,,
BC Hydro,BCHydro,"[""Quasi Governmental""]",Quasi Governmental,British Columbia,Operates electric generation and transmission infrastructure essential to resilience and recovery.,,https://www.bchydro.com/contact.html,"[""British Columbia""]","[""Organization""]",Organization,"[""State""]",State,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Energy""]",Energy,https://www.bchydro.com/,,
Bear River Band of the Rohnerville Rancheria,BearRiver,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
Big Lagoon Rancheria,BigLagoon,"[""Tribal Sovereign""]",Tribal Sovereign,California,"Provides tribal leadership, planning, and community resilience functions relevant to earthquake and hazard preparedness.",,,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Unknown""]",Unknown,"[""Unknown""]",Unknown,,,
Blue Lake Rancheria,BlueLakeRan,"[""Tribal Sovereign""]",Tribal Sovereign,California,Leads tribal and community resilience initiatives including hazard preparedness and emergency planning.,,,"[""California""]","[""Organization""]",Organization,"[""Sovereign""]",Sovereign,"[""Community Resilience""]",Community Resilience,"[""Coordination""]",Coordination,"[""Unknown""]",Unknown,,,
BNSF,BNSF,"[""Private Sector""]",Private Sector,U.S. National,Operates freight rail infrastructure that is critical to regional transportation resilience.,,https://www.bnsf.com/contact-us/,"[""U.S. National""]","[""Organization""]",Organization,"[""Private""]",Private,"[""Infrastructure Systems""]",Infrastructure Systems,"[""Infrastructure Operator""]",Infrastructure Operator,"[""Transportation""]",Transportation,https://www.bnsf.com/,,
Boise State University,BoiseState,"[""Academic""]",Academic,U.S. National,"Conducts research and education relevant to hazards, resilience, and emergency management.",,https://www.boisestate.edu/contact/,"[""U.S. National""]","[""Organization""]",Organization,"[""Non Governmental""]",Non Governmental,"[""Earthquake Science""]",Earthquake Science,"[""Knowledge Provider""]",Knowledge Provider,"[""Unknown""]",Unknown,https://www.boisestate.edu/,,
